workerId	assignmentId	Treatment	Time	KnewAboutMoodStudy	AwareThisStudy_BotnetSpam	AwareThisStudy_Facebook	AwareThisStudy_OSCredentialSpoofing	AwareThisStudy_SocialPhishing	AwareThisStudy_WarningsDeception	PrevParticipated_BotnetSpam	PrevParticipated_Facebook	PrevParticipated_OSCredentialSpoofing	PrevParticipated_SocialPhishing	PrevParticipated_WarningsDeception	Proceed_BotnetSpam	Proceed_Facebook	Proceed_OSCredentialSpoofing	Proceed_SocialPhishing	Proceed_WarningsDeception	Surrogate_BotnetSpam	Surrogate_Facebook	Surrogate_OSCredentialSpoofing	Surrogate_SocialPhishing	Surrogate_WarningsDeception	XplainProceed_BotnetSpam	XplainProceed_Facebook	XplainProceed_OSCredentialSpoofing	XplainProceed_SocialPhishing	XplainProceed_WarningsDeception	XplainSurrogate_BotnetSpam	XplainSurrogate_Facebook	XplainSurrogate_OSCredentialSpoofing	XplainSurrogate_SocialPhishing	XplainSurrogate_WarningsDeception
A10GHU62ZGTGY6	3RYC5T2D73UXGYMS7LACGGIDCT3RP9	InsertOnlyPostiveposts	465	no	no	no	no	no	no	no	no	no	no	no	unsure	no	unsure	unsure	unsure	no	no	no	no	no	This seems to be an attempt to quantify something that is useless	they are just trying to prove the obvious	it may be of some use	it seems unnecessary	it seems unnecessary	I believe spam is an invasion of privacy	it is an invasion of privacy	deceieving premises	invasion of privacy	I don't care to be decieved
A10J2LPSWS03SQ	34HJIJKLP5X3KCHQILNYEFWL64G4VM	NoAdvertising	872	no	no	no	no	no	no	no	no	no	no	no	caution	no	caution	no	caution	yes	no	yes	no	yes	The researchers should be able to proceed with the experiment while assuring the safety of the participants. 	I don't think that the researchers should be able to manipulate the participants' Facebook pages.	The researchers should be able to continue with the experiment, but should be cautious not to store any passwords or put any participants at risk. 	I would support the experiment if the researchers were unable to see the passwords that were entered.	The researchers need to exercise extreme caution in protecting the participants, if that is done then they should be allowed to proceed.	As long as researchers are not collecting any personal information from the participants, I would support the experiment. 		I would feel comfortable with the research because no passwords are beinf stored in any way.\r\n	I would not condone the participation when passwords are being taken and used, whether it is secure or not. 	As long as the participant is at no true risk, then I would support their participation.
A10NAX1WPXMFT2	3MX2NQ3YC9VDKKQLW57Q7SZKM8H5XN	Twitter	1005	no	no	no	no	no	no	no	no	no	no	no	caution	yes	caution	caution	caution	no	yes	yes	yes	yes										
A10NETRDC5VLFP	3QAPZX2QN4EDOX1NBAGL079XSRL022	WithoutRemovingNegativePosts	186	yes	no	no	no	no	no	no	no	no	no	no	no	no	unsure	no	unsure	no	no	no	no	indifferent										
A10OJZHJKJOMX8	3JMSRU9HQIVLCEEJ7RZBN18CJXKVE1	WithoutRemovingPositivePosts	744	no	no	no	no	no	no	no	no	no	no	no	no	yes	caution	unsure	yes	no	indifferent	indifferent	no	indifferent	I feel that the experimenters have not created an ethical or safe experiment for participants.  There are too many risks involved with this study.	I feel that the experiment is ethical and practical when it comes to the mental health of facebook users.	I feel that some aspects are slightly unsafe or can lead to some damage towards participants of the experiment.	I feel as if some aspects of this experiment are unethical or unsafe to participants.  	Because I believe the experimenters were careful when designing all aspects of the experiment so that participants would not come to any harm.	I feel as if this experiment is entirely unsafe for participants.				
A10P6JHJ52BLZL	3YW4XOSQKQMMFYV7QDURKVNZGCNU1Y	WithoutPublication	725	no	no	no	no	no	no	no	no	no	no	no	yes	yes	yes	yes	caution	yes	yes	yes	yes	no	It will help us to understand the positive and negative aspects of SPAMMMING	Yeah sure it will be interesting to see the results.	It will benefit and educate both parties.	It will benefit everyone as a learning experience.	I think it will benefit people in the long run but I dont want my security to be compromised any.	It will help to control SPAM			I would want that person to be aware of whats happening and to be educated in how to deal with it.	I wouldnt want someone that I cared for to be deceived about their security.
A10REK3XHCU8HT	3TUI152ZZBOUN5OQ94AMAUQAD1ZQ1R	WithoutRemovingPositivePosts	446	yes	no	yes	no	no	no	no	no	no	no	no	no	yes	yes	caution	yes	no	yes	yes	yes	yes	It seems unethical to me.		People are idiots about their passwords and need to explicitly be shown what they need to look out for to avoid being "hacked"		People are dumb.					I'm tired of cleaning off people's computers because they click on ads and then ignore their antivirus warning them that it's dangerous.
A10RI4TLDUCPM1	3ZDAD0O1T1EF5M1BX1POA85Y2LYXTL	UnnamedCompany	1679	yes	no	no	yes	no	yes	no	no	yes	no	yes	no	no	caution	caution	caution	indifferent	no	no	indifferent	no	This is essentially a man-in-the-middle-attack, which I do believe is illegal.  Just because it's for research does not really make it any different than some hacker using the same technique to grab personal information, other than the claim that no information will be collected. 	"protect the moods of psychologically-vulnerable users"  Is this something that is really needed?  Didn't Facebook just get taken to task for trying this nonsense?			What happens when the participant gets the security warnings and dumps out of the HIT immediately, and never gets informed of the explanation at the end? 	I hope no one that I care about is dumb enough to be answering spam e-mail, but other than that I don't really care. 	If I choose to share something, who are the experimenters to decide if it gets to the people I want it to or not? 			You don't play around with security.  
A10RUS5OL82QEL	3WMINLGALB4MNSR7052K1QUWD6BCAJ	WithoutImprovingProduct	1765	yes	no	yes	no	no	no	no	no	no	no	no	no	no	caution	no	yes	no	no	indifferent	no	indifferent	Any unauthorized access to someone's password is not okay, even if consent is sought after the fact. The experiment has some concerning privacy violations, and I do not agree that these violations are worth whatever could supposedly be learned from the exercise.	The personal violations of this research are not okay and any new knowledge gained is not worth said violations.  Plus, consent is not mentioned anywhere in the abstract.	The study MUST be designed so that no passwords are recorded at all, and so that there is no vulnerability for true hackers to hijack the study for ill purposes.	Same answer as before: Any unauthorized access to someone's password is not okay, even if consent is sought after the fact. The experiment has some concerning privacy violations, and I do not agree that these violations are worth whatever could supposedly be learned from the exercise.		I believe what one purchases is private information, so this experiment has a;; sorts of privacy violations to me. 	I think it is unethical to manipulate someone's emotions, even in the name of scientific research and even if consent is sought after the fact (although consent is not mentioned here).  Plus, I am pretty anti-facebook!	As long as passwords are not recorded in ANY way, then I have no preference.	Any unauthorized access to someone's password is not okay, even if consent is sought after the fact. The experiment has some concerning privacy violations, and I do not agree that these violations are worth whatever could supposedly be learned from the exercise.	As long as there is no real risk to the subject, I have no problem with this experiment.
A10SUPT94QJPN7	3Q8GYXHFEP3PHMFQ59B3TFEALVQ5CS	InsertOnlyPostiveposts	1125	no	no	no	no	no	no	no	no	no	no	no	unsure	unsure	caution	unsure	caution	indifferent	indifferent	yes	indifferent	yes	It seems like the research results could be valuable in fighting spammers but I'm not sure if this is the best way to conduct the research.	This one seems a bit too sneaky as well.	It is a research experiment so as long as researchers are conducting it within the established rules of ethics then they should be allowed.	I'm not sure that tricking people into unwitting participation is ethical. Attempting to fool someone who is already agreeing to participate in a study is one thing but tricking people who do not know they are even participating is a bit too sneaky.	As long as the researchers followed established guidelines and rules of ethics then there is no issue.	On the fence on this one but if no payment information is collected then I might say yes. Maybe.	Unsure about this one.	I would participate so I have no issue with someone I care about participating.	I'm unsure about this one, it's kind of too sneaky.	I would participate so a loved one participating is fine with me.
A10TU9I6GUEENN	3WZ36BJEV3H8SJYAS5X6LBE6J9ETBU	InsertPosts	864	no	no	no	no	no	no	no	no	no	no	no	no	no	yes	caution	yes	no	no	yes	yes	yes	There is no informed consent and obvious deception at work here. Deception is allowable if the participants are aware that they are at least in a study. 	There is no informed consent nor is there any debriefing. 	See above comment.		See comments above.	The researchers need to obtain informed consent from the participants.	There is no mention of the people being informed that they are part of a study.	Because the passwords were not stolen and there was informed consent, I think this one is okay. However, I might advise my loved one to change passwords that matched the one given, just to be safe. 		There is informed consent and the subjects will be debriefed and remain anonymous. This seems perfectly acceptable. 
A10VDFRX9TQS17	3GM6G9ZBKNY4BA27JUNFZRP0V88MT2	InsertPosts	155	no	no	no	no	no	no	no	no	no	no	no	no	yes	caution	no	caution	no	yes	indifferent	no	indifferent										
A10VQSMGPJFSMU	3K5TEWLKGVCXSJG53AP28G64BMFIVD	InsertOnlyPostiveposts	677	yes	no	yes	no	no	no	no	no	no	no	no	yes	yes	yes	yes	yes	yes	yes	yes	yes	yes	This sounds like important marketing research with wide implications.	Same reason. Facebook can do what they want with their own program	This sounds great. I think this should not only be allowed, but done ASAP.	Why not? I don't see why not. This is perfectly fine with no malice.	This research will hurt no one so why not?	This sounds great. I would love to see the results!	Facebook can do what they want with their own program.	This sounds very valuable to people. Do it.	Sounds like a good experiment to do!	Nobody gets hurt, no problem.
A10XEV4PQKUC2C	3FDJT1UU74970KREXMS1HYRIQ8BK54	WithoutRemovingNegativePosts	859	yes	no	yes	no	no	no	no	no	no	no	no	no	no	caution	no	unsure	no	no	indifferent	no	indifferent	There is too much room for error and it is taking advantage of the people the spammer is targeting. 	It's manipulate and undisclosed. The purpose people visiting the site is social, not to participate in experiments. 	I think it would be useful information, with people agreeing to participate and no info stored or actually collected. 	No, for the same reasons above. Accessing profiles on facebook, pretending to be someone else without permission, and then actually obtaining the passwords would be wrong.	I don't know what the requirements are for scientific experiments and whether no not this would violate them. 	The lack of disclosure and of voluntary participation make me feel like it would be a bad idea.  As well as the fact that the experiment is not under the complete control of the researchers. 	If there's a potential that their mood could be affected, I would not like that. 	There doesn't seem to be any risk. 	This seems to involve violating privacy, and then being able to access sensitive data of the students once they enter the password.	There's no real risk, so it wouldn't be concerned. 
A10XYFXQYJKBXF	37C0GNLMHF4V5ILIAOGJ5RAS2UAD6L	InsertPosts	834	no	no	no	no	no	no	no	no	no	no	no	yes	caution	yes	yes	yes	yes	indifferent	yes	yes	yes			RESEARCHERS WOULDN't be able to measure how users become victims of hackers							
A10YFUTL5NTFU3	3PPTZCWALQLRI19YHFJE2OAMQ8KQZ8	WithoutPublication	528	yes	no	yes	no	no	no	no	no	no	no	no	no	no	yes	no	yes	no	no	yes	no	yes	I don't think the researcher should stop anyone from making a purchase, or the seller from making a sale. 			They would have secured information, and be using it. It could open the subject to real risk if not handled properly. 			I'd want to be able to read all of my friend's posts and not have the website edit what I see. 			
A10YS8AVLQWUZZ	31JLPPHS2UVNCWPPHVW19IA7WHDO3L	UnnamedCompany	935	no	no	no	no	no	no	no	no	no	no	no	yes	no	yes	no	yes	yes	no	indifferent	no	yes	I think this is a fair and ethical way to research the problem of spam.	I think it is wrong to exclude posts from candidate participants.	In addition, the researchers should tel participants how to better protect their passwords and to change them if they feel they have been compromised.	I think this is a bad research project. In my opinion it is hacking.	This seems fine to me, I see no issues with the manner in which the research is to be done.	I don;t see any harm in this research.	I don't think it is ethical for the researchers to exclude any posts.	I see no harm in this research.	This research is just as bad as the hackers who do phishing!	I see no harm in this research experiment.
A1102MP1CZI32V	3300DTYQT2IT76I2LS51HE9427BQEC	Control	534	yes	no	no	no	no	no	no	no	no	no	no	caution	yes	caution	no	caution	no	yes	indifferent	no	yes										
A110FGFTNKD7HY	3J2UYBXQQLD16YKOYCSOQKQ98XB60F	WithoutImprovingProduct	513	yes	no	yes	no	no	no	no	no	no	no	no	no	no	unsure	unsure	yes	no	no	no	no	yes	This seems much too dangerous.	They need to inform the participants.	I hope that they do not ask for real passwords but have users make a new one for a pretend service.	I don't think so because using real passwords is very dangerous but off-hand I can't think of a better way.	I don't see any negative side effects so long as participants see that there was no real harm.	Since the participants are not informed it does not seem ethical.	Without notifying the user, people would be subjected to negative information routinely without their knowledge and have an adverse reaction.	I would not want real passwords that someone uses to be used even temporarily somewhere else.	I would not want real passwords being used.	There are no negative repercussions to the study and new information will be learned.
A11179KDXC2RL0	35GCEFQ6I5PZB03WJ47IPGHBGG4Z3C	InsertOnlyPostiveposts	2592	yes	no	yes	no	no	no	no	no	no	no	no	unsure	unsure	yes	yes	unsure	no	indifferent	indifferent	indifferent	indifferent	I don't think it is very relevant. It is well known that people are scammed, and that it is often the geriatric population who are vulnerable.	I don't know how ethical it is to post thoughts as someone else, since researchers would not know who they are posting for, or what their emotional state is. The family members may misinterpret the mood or thought, even if it is thought to be unimportant or irrelevant by researchers.	I think it would benefit a lot of people. I know a few people who do not understand how unsafe their password choices are.	This would help people learn about these types of scams.		I would not want anyone I know to click on a link in a spam email. Especially not to buy something from their "store".	I had to delete my facebook page a few years ago because of the play-by-play drama people like to put on there. I don't know that I would know the difference if someone I knew/cared about were a participant.	I think it would be a learning experience. They would know how to create a safer password	This would also be a learning experience.	
A1132D80ERZLF9	3AMW0RGHOD3C10U0EETV7WD3B6BPN0	InsertPosts	971	yes	no	yes	no	no	no	no	no	no	no	no	yes	no	caution	caution	yes	yes	no	yes	yes	yes	As a lay person, I don't see any ethical issues with this experiment.	The researchers aren't seeking anyone's permission, or revealing their experiment to anyone. 				It doesn't seem like there would be any harm to the unknowing participant. In fact, it would likely save them money or possible identity theft. 				
A1153ZIEQX0ZJ8	3OHYZ19UGC6NWHOAQABBWQOD2IOAO4	WithoutRemovingNegativePosts	8441	yes	no	no	no	no	no	no	no	no	no	no	unsure	yes	caution	caution	yes	indifferent	indifferent	yes	yes	no	It seem kinda useless to me, but this could be valuable to other people.	I think, this sounds like a great experiment, so I would advocate it.	It seem like a valuable experience, but they should be careful due to the sensitivity of this nature. 	It seem like a good thing, but due to the sensitivity of things of this nature, researchers need to be cautious with how they conduct their research.	Probably. This could be helpful in aggregating data in how people handle with security warnings.	I'm indifferent. It can be a good thing, but also kinda pointless.	This could be useful and sounds promising, so perhaps.		Yes, this can teach the individual a lesson, in how easy they can fall for things like this.	Not really. I don't see how the individual will gain anything out of this unless they're compensated.
A1159EV0HX7QLZ	37Q970SNZE960L3318ZR5U5BVDP1S8	WithoutRemovingNegativePosts	356	no	no	no	no	no	no	no	no	no	no	no	caution	unsure	caution	no	caution	no	no	no	no	yes	with caution it would be ok I guess.	I think facebook is a powerful tool and could hurt the persons feelings.	If its for research then I guess it would be ok but its risky to hurt a persons feelings.	no, I think its invasion of privacy.	seems ok	Would not want to see them get hurt	dont want them to be hurt.	Well I wouldn't like to see someone I know deceived.	seems deceitful and wouldnt want someone I know participating	doesnt seem that offensive.
A1188J9Z5C2T1L	3IFS6Q0HJIKH0RZ19FKXXTMXCJZSIY	WithoutImprovingProduct	328	no	no	no	no	no	no	no	no	no	no	no	no	caution	no	no	yes	no	indifferent	no	no	yes										
A118DWOXWSI8VC	39LOEL67OS6KR429AE75CWK7H6S384	WithoutRemovingNegativePosts	790	yes	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	no	no	no	This is a clear invasion of privacy, and bringing purchases into it makes it worse.				This research seems less harmful than other research presented, although no less deceitful.	No one is even being informed of the deceit.			Researchers will know their spasswords, and it is always unethical to perform research on others without their consent	
A1192QTH13TFC0	3FK0YFF9PZH2EP052HOLN5WYJPHVVV	Twitter	438	yes	no	yes	no	no	no	no	no	no	no	no	no	no	no	no	caution	no	no	no	no	indifferent										
A119Y1O8BULMQI	3G0WWMR1UVLX1CVFER8K713DG2SQNN	WithoutRemovingNegativePosts	458	yes	no	no	no	no	no	no	no	no	no	no	no	yes	no	no	yes	no	yes	no	no	yes	no, just don't spam anyone			never mess with other peoples emails	it is only a study	spammers should be shot	it is for the advancement of science	ok, now you guys are really crossing the line	never mess with other peoples emails	no harm done
A11DRU0FXXJGKF	3IHR8NYAM72QFSKUW9EZ8N73KFXP42	Twitter	604	no	no	no	no	no	no	no	no	no	no	no	yes	yes	yes	yes	yes	no	yes	yes	yes	yes						While the research would be interesting to see, I wouldn't want any of my friends or family to be messed with like that.  When you start being funny with peoples money, they might get mad.			If any of my family or friends fell victim to a phisher, they should learn not to.	
A11J5JF5KLFEG2	3FIUS151DV30EVKFORQDN3QE9T4GGX	InsertPosts	2045	yes	no	no	no	no	no	no	no	no	no	no	caution	yes	yes	caution	yes	indifferent	yes	yes	indifferent	yes										
A11JDX1KJTIHFL	32RIADZISS5NSK0MOQIT3SCE7Z64SZ	InsertOnlyPostiveposts	2162	yes	no	yes	no	no	no	no	no	no	no	no	no	caution	no	caution	yes	no	indifferent	no	indifferent	indifferent	I think it is unethical to allow and encourage spamming.	It could be considered unethical to perform research on an individual without his consent.	I think it is unethical to obtain passwords through deceit, even if it is not done maliciously.	If the university has given permission, it is acceptable. However, it may be unethical to encourage phishing.	I think it would be useful to study the effectiveness of security warnings.	I wouldn't want anyone to be the victim of spam, even if the spam is under benevolent control.	I don't think the experiment would have any negative impact on anyone.	I would not want someone I cared about to have their password compromised, even if it was not done maliciously.		
A11KP7FK5KS9H1	3X1FV8S5JXSJWSAADMPZN4TOW8QGVK	NoAdvertising	343	no	no	no	no	no	no	no	no	no	no	no	caution	caution	caution	caution	caution	indifferent	indifferent	indifferent	indifferent	indifferent										
A11KS96WS37CC1	3VAR3R6G1P29DTVVTCRX0ZIIC71O8H	NoAdvertising	450	yes	no	yes	yes	yes	yes	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no		They should ask for volunteers.		Not without permission.			I find it disgusting that facebook allowed this. It is one thing to actively participate and know what you are participating in. Quite another to do it without informing.		It should be voluntary.	
A11LUY287K2MYF	3URFVVM165JJAUGFYO3JCP7BTQAUZV	WithoutRemovingNegativePosts	411	no	no	no	no	no	no	no	no	no	no	no	no	yes	caution	no	caution	yes	no	indifferent	yes	no	I feel that this would make people anxious. 	I don't see anything unethical or illegal with this. This would be a good study. 	They will be getting confidential information. They need to dispose of it and let people know they disposed of it. 	They're compromising a person's identity. This could cause a lot of issues. 	As lose as they disclose that nothing is wrong at the end of the experiment, this seems safe. 	I feel that this would make people anxious. 	These seems harmless. 	I wouldn't care if someone I knew participated. 	This will cause them to worry about their friend's identity. 	This seems alright. 
A11MBZUB0YC9V1	3K772S5NP8CGUDJZ22I780H3BBUHE4	WithoutImprovingProduct	2055	yes	no	yes	no	no	no	no	no	no	no	no	no	no	caution	no	unsure	no	no	yes	no	indifferent	Again, the subjects are not giving consent to participate in the experiment.	"If the researchers are not allowed to perform this experiment, they will not be able to make a valid scientific determination of whether users' moods are affected by the moods of their friends' posts."  The experimenters have no need to ascertain such a thing--but I'd think Facebook might find the information valuable in terms of tailoring feeds to make users more prone to, say, purchase items to improve their mood, or because they're happy.	The chief problem is that the methods haven't been explained, and it's not clear to me whether subjects will be induced to type passwords they're currently using. If that's the case, I think the experiment is troubled.  People simply won't believe the "aggregated data" line.	Lack of consent of subjects; improper use of Facebook data; and access to passwords should not be permitted by the university.	Assuming this is a serious proposal, I expect the researchers are aware that many participants would simply close their browsers after encountering a security warning, return the HIT, and leave a bad review on Turkopticon (or an equivalent site if this isn't an Amazon HIT). IOW, the design of the study isn't going to foster a successful outcome.	Like the Facebook example, this experiment entails uninformed consent of the subjects to the experiment, which violates scientific protocol.  	The researchers have no right to manipulate the moods of unsuspecting participants on a social media site without their permission, which is how this experiment was actually conducted.  The standard of informed consent was violated, which is itself a violation of good scientific protocol--IMO. Cornell and the University of California know better.	Although the revelation that the subject has been disingenuously informed of the purpose of the experiment may be distressing to the person, the experience could also be highly instructive.  If the person is vulnerable to hacker techniques, he or she should be made aware of that, and going through the experiment would be one way to hammer it home.	Again, the subjects would not have consented to the experiment.  In addition, I wouldn't want someone I cared about to have to reset all his or her passwords, and deactivate his or her Facebook account, which is what I'd advise anyone who was subjected to this.\r\n	While I don't like the deception angle, I understand its necessity in structuring the study. Since the participant would have given consent as part of accepting the HIT, and since the security risks do not actually exist, this would not entail more than anxiety for the participant.
A11N8D0L560PVJ	34FNN24DCMA2KPGV11TSQ66TOJQY5B	NoAdvertising	502	no	no	no	yes	no	no	no	no	no	no	no	no	no	caution	no	caution	no	no	indifferent	no	indifferent		By picking and choosing comments they are attempting to control the situation which changes the end result.  The researchers cannot control the flow of positive or negative results or they will possibly skew the results.	See above.	University passwords are confidential as student information and should not be able to be shared with anyone other than IT in the event that a new password needs to be initiated.		This crosses the line by actually infecting someone's computer.  I would not feel confident in others' being able to control the behavior of hackers.		I understand why an amount of deception is necessary in this case.  As long as no information is vulnerable during the process then I would not have a problem with it.		
A11O0X8GJ6HZ2K	3P529IW9KYMAMN2LOYHBIAVA4UWFL7	WithoutRemovingPositivePosts	782	no	no	no	no	no	no	no	no	no	no	no	caution	caution	caution	caution	caution	indifferent	indifferent	indifferent	indifferent	indifferent	Eventually the participants need to be notified that they were a part of an experiment. 			The researchers need to make sure the passwords are secure and not keep them on file after the experiment.			It doesn't seem like there would be any risks to the experiment. 			
A11O61YRP03RL2	3VNL7UK1XFKY50AQX7J2415RY87TFF	Twitter	552	yes	no	yes	no	no	no	no	no	no	no	no	no	no	unsure	caution	yes	no	no	no	no	yes										
A11WSO7BHGJ5CT	3I2PTA7R3TVWT6ACHEG4F9M9MVUKQV	WithoutImprovingProduct	300	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	no	It's unethical. No debriefing.					Because they believe they are purchasing something and won't be told otherwise.				
A11YNESHQDTGKQ	3K2755HG5S4ROBETBHJNZXN5VU3DFG	NoAdvertising	265	yes	no	yes	no	no	no	no	no	no	no	no	unsure	yes	caution	yes	caution	indifferent	indifferent	indifferent	indifferent	indifferent										
A120TOLQ1KGPLQ	3OXV7EAXLERXNQJLHZA7SIOGBK6364	WithoutRemovingNegativePosts	213	no	no	no	no	no	no	no	no	no	no	no	yes	no	yes	no	yes	yes	no	no	no	yes										
A1219SY7CR1UWP	3PM8NZGV8YH2D69JGXVT53UBI46XQU	WithoutRemovingPositivePosts	13584	no	no	no	no	no	no	no	no	no	no	no	caution	no	yes	caution	yes	yes	indifferent	indifferent	indifferent	yes										
A122MCXOC27LW7	3QXNC7EIPIWOOHMMWJV0AUHBY5809N	WithoutRemovingPositivePosts	1239	no	no	no	no	no	no	no	no	no	no	no	yes	caution	yes	yes	yes	indifferent	indifferent	indifferent	indifferent	indifferent	It's interesting and not hurting anyone.	It's interesting, but I am concerned with missing posts.  It's something that probably shouldn't be messed with.	It's interesting and not hurting anyone.	It's interesting enough, and not at all harmful.	It's interesting and not hurting anyone.	Doesn't matter if it's someone I care about.	Doesn't matter if it's someone I care about.	Doesn't matter if it's someone I care about.	It just doesn't make a difference if it's someone I care about because its only an experiment.	Doesn't matter if it's someone I care about.
A122MZOQT9A8XL	3AAPLD8UCCIIJW1WSX727MH4ENWTHP	NoAdvertising	673	yes	no	yes	no	no	no	no	no	no	no	no	yes	caution	yes	caution	yes	no	no	yes	no	yes		Only if people know they are participating in an experiment		Only if they use people who are ready taking surveys						
